timestamp,request_count,bytes_sum,bytes_mean,bytes_max,bytes_p95,unique_hosts,status_2xx,status_3xx,status_4xx,status_5xx,error_count,error_rate,method_get,method_post,method_head,method_other,throughput_bytes_per_min,request_spike_score,congestion_score_proxy,target_next_congestion_score
1995-07-01 04:32:00+00:00,65.0,1860233.0,28618.96923076923,305722.0,185153.39999999982,27.0,59.0,6.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,1860233.0,0.13234341510643785,0.5209952510210234,0.24970662430636234
1995-07-01 04:33:00+00:00,71.0,2464592.0,34712.56338028169,614799.0,117368.0,27.0,63.0,8.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,2464592.0,0.25154310945454483,0.6041792473282903,0.4114349085457253
1995-07-01 04:34:00+00:00,77.0,1305503.0,16954.584415584417,139264.0,68638.00000000003,32.0,69.0,8.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,1305503.0,0.3681250022313156,0.5807558631644064,0.2987226774415738
1995-07-01 04:35:00+00:00,69.0,1214818.0,17606.057971014492,172498.0,58580.79999999991,31.0,63.0,6.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,1214818.0,0.1940024604218854,0.5165891848300568,0.40042565887488013
1995-07-01 04:36:00+00:00,59.0,1277554.0,21653.457627118645,235862.0,108918.79999999986,25.0,55.0,4.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,1277554.0,0.0,0.4281116581316198,0.6090355340097213
1995-07-01 04:37:00+00:00,67.0,1535770.0,22921.940298507463,372172.0,89819.99999999985,26.0,57.0,9.0,1.0,0.0,1.0,0.014925373134328358,67.0,0.0,0.0,0.0,1535770.0,0.15191391066981277,0.5055206362276948,0.4893564006601926
1995-07-01 04:38:00+00:00,87.0,1803226.0,20726.735632183907,593699.0,52849.4,29.0,71.0,15.0,1.0,0.0,1.0,0.011494252873563218,87.0,0.0,0.0,0.0,1803226.0,0.5704561990238025,0.660359369536866,0.46483891293935947
1995-07-01 04:39:00+00:00,79.0,1192855.0,15099.430379746835,237568.0,61888.0,27.0,73.0,6.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,1192855.0,0.37834331670859983,0.5492410750207724,0.47799668995366773
1995-07-01 04:40:00+00:00,62.0,1288695.0,20785.40322580645,84907.0,66202.0,25.0,60.0,2.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,1288695.0,0.01945936400314421,0.437930084367217,0.6623281412070051
1995-07-01 04:41:00+00:00,72.0,1412017.0,19611.347222222223,258839.0,97588.05000000002,28.0,68.0,4.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,1412017.0,0.22666182142449554,0.5255185587575145,0.5064625582534441
1995-07-01 04:42:00+00:00,67.0,1042341.0,15557.328358208955,152676.0,62623.09999999998,28.0,56.0,11.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,1042341.0,0.11834153233150076,0.46581076083359463,0.42883494725936333
